,id,dateAdded,dateUpdated,name,brand,reviews.date,reviews.dateSeen,reviews.doRecommend,reviews.numHelpful,reviews.rating,reviews.text,reviews.title,reviews.username
941,AV-XeQLWuC1rwyj_gbP5,2017-11-07T16:59:25Z,2018-09-21T19:58:22Z,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,Amazon,2018-05-23T00:00:00.000Z,2018-05-26T00:00:00Z,1,0,5,A lazy mans drean when it is combined with Alexa. If you get the harmony hub you can really impress with home automation,Awesome!,Prelude428
942,AV-XeQLWuC1rwyj_gbP5,2017-11-07T16:59:25Z,2018-09-21T19:58:22Z,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,Amazon,2018-05-25T00:00:00.000Z,2018-05-26T00:00:00Z,1,0,5,I really enjoy my Fire stick. It's really easy to use.,This is a great piece of equipment,makedog
943,AV-XeQLWuC1rwyj_gbP5,2017-11-07T16:59:25Z,2018-09-21T19:58:22Z,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,Amazon,2017-11-30T21:40:30.000Z,"2018-03-21T00:00:00Z,2018-03-06T00:00:00Z,2018-01-17T00:00:00Z,2018-01-09T00:00:00Z,2017-12-19T00:00:00Z,2017-12-14T00:00:00Z,2017-12-04T00:00:00Z",1,1,5,Really cool device! Instantly noticed the difference in quality when I switched from the regular Fire Stick to the Fire TV with 4k.,,Erinnicole94
944,AV-XeQLWuC1rwyj_gbP5,2017-11-07T16:59:25Z,2018-09-21T19:58:22Z,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,Amazon,2018-05-22T00:00:00.000Z,2018-05-26T00:00:00Z,1,0,5,Love it! Works great. One in each of the main rooms.,love it!,RCLSU
1535,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-08-11T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-04-03T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,I needed a second charger (for traveling) for my Kindle Fire that was a fast charger. This worked great. It charges my Kindle fire in just a few hours.,Works great for charging my Kindle Fire,jediliz
1536,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2017-06-25T00:00:00.000Z,"2017-09-30T00:00:00Z,2017-09-21T00:00:00Z,2017-08-27T00:00:00Z,2017-08-06T00:00:00Z",1,0,5,This solved the problem of my daughter's lost kindle charger.,Good replacement,cracineo
1537,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-10-08T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,I found that I was immediately sked by a staff member if I needed help. I received good advice and shown similar alternative products. What I bought was perfect for what I wanted. The price was quite reasonable.,"Great Service, great purchase",BEN1
1538,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-11-21T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-04-03T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,Best kindle charger ever. Took 30 minutes to being my kindle back to life.,Amazon powerfast wall charger,Pat91
1539,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2017-05-21T00:00:00.000Z,"2017-09-30T00:00:00Z,2017-09-21T00:00:00Z,2017-08-27T00:00:00Z,2017-08-06T00:00:00Z,2017-06-08T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,I was looking everywhere for this because I lost my charger for my fire stick and i finally found it at best buy. It was a great price and works perfectly!,awesome,dm94101
1540,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-08-16T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-04-03T00:00:00Z,2017-06-07T00:00:00Z",1,1,5,Great product for quickly charging your Kindle!!!!,Kindle Quick Charger,Mike
1541,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-08-26T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-04-03T00:00:00Z,2017-06-07T00:00:00Z",0,0,3,I bought this because the package said it was a fast charger only to find it charges at normal speed... That was disappointing. I'm pretty sure I'm not doing anything wrong. It seems pretty self explanatory... :/,Disappointed,Rickgelo
1542,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2017-07-07T00:00:00.000Z,"2017-09-30T00:00:00Z,2017-09-21T00:00:00Z,2017-08-27T00:00:00Z,2017-08-06T00:00:00Z",1,0,5,"Tried different charging blocks, nothing worked properly. Plugged in the Amazon block, Kindle came right up.",Great charger for the Kindle Fire,fubarcrs
1543,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-10-14T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,Quickly charges kindle so son can use it. Worked great right out of the package,correct plug for kindle,Frank
